DISTRICT,NITROGENIUS,PHOSPHETIC,POTASIC,TOTAL
AJMER,9093,1936,239,11268
ALWAR,28983,8173,239,37395
BANSWARA,16323,2400,133,18856
BARAN,31471,9782,130,41383
BARMER,7514,821,66,8401
BHARATPUR,28622,5061,76,33759
BHILWARA,19168,6003,492,25663
BIKANER,18430,6365,120,24915
BUNDI,30359,6816,97,37272
CHITTORGARH,25514,7621,593,33728
CHURU,3372,1384,7,4763
DAUSA,15091,3173,152,18416
DHOLPUR,13997,2657,138,16792
DUNGARPUR,4039,423,65,4527
GANGANAGAR,51810,12184,547,64541
HANUMANGARH,41759,8839,791,51389
JAIPUR,30718,11193,463,42374
JAISALMER,4435,816,93,5344
JALORE,16719,1405,568,18692
JHALAWAR,21717,8210,219,30146
JHUNJHUNU,8464,1276,46,9786
JODHPUR,19331,7352,496,27179
KARAULI,10708,2705,67,13480
KOTA,33232,11723,384,45339
NAGAUR,18127,8110,680,26917
PALI,7512,1558,113,9183
PRATAPGARH,11146,5035,341,16522
RAJSAMAND,4557,622,71,5250
S.MADHOPUR,18601,2004,47,20652
SIKAR,11000,2471,108,13579
SIROHI,8001,1022,278,9301
TONK,18142,2201,108,20451
UDAIPUR,17708,4454,863,23025
