DISTRICT,NITROGENIUS,PHOSPHETIC,POTASIC,TOTAL
AJMER,5919,3002,37,8958
ALWAR,24272,4336,672,29280
BANSWARA,14776,2391,108,17275
BARAN,24785,10534,174,35493
BARMER,8760,1083,74,9917
BHARATPUR,21984,5869,165,28018
BHILWARA,12771,2509,199,15479
BIKANER,17288,5352,70,22710
BUNDI,24402,6853,199,31454
CHITTORGARH,23624,9398,749,33771
CHURU,5123,943,4,6070
DAUSA,13034,3271,254,16559
DHOLPUR,10537,1516,59,12112
DUNGARPUR,3595,706,48,4349
GANGANAGAR,48592,16287,1366,66245
HANUMANGARH,37655,11591,145,49391
JAIPUR,20487,9353,1146,30986
JAISALMER,4798,1545,17,6360
JALORE,20213,2856,600,23669
JHALAWAR,17376,7849,164,25389
JHUNJHUNU,7079,1929,30,9038
JODHPUR,17276,6475,726,24477
KARAULI,11222,3396,92,14710
KOTA,28034,10467,599,39100
NAGAUR,12012,5704,453,18169
PALI,7559,3428,255,11242
PRATAPGARH,11162,4140,510,15812
RAJSAMAND,4648,824,81,5553
S.MADHOPUR,11065,3045,97,14207
SIKAR,7522,2682,138,10342
SIROHI,10290,1762,179,12231
TONK,14111,4081,136,18328
UDAIPUR,12123,3145,1349,16617
