DISTRICT,NITROGENIUS,PHOSPHETIC,POTASIC,TOTAL
AJMER,8981,4149,45,13175
ALWAR,31347,2997,101,34445
BANSWARA,21367,3471,151,24989
BARAN,33557,11504,245,45306
BARMER,5866,1177,114,7157
BHARATPUR,25865,5424,36,31325
BHILWARA,21632,6396,105,28133
BIKANER,18991,4409,24,23424
BUNDI,22674,6335,167,29176
CHITTORGARH,30124,10330,369,40823
CHURU,5557,1349,0,6906
DAUSA,14810,2531,68,17409
DHOLPUR,14946,2254,18,17218
DUNGARPUR,4307,2238,40,6585
GANGANAGAR,44200,10268,354,54822
HANUMANGARH,30451,7248,198,37897
JAIPUR,25788,7731,203,33722
JAISALMER,5701,1907,45,7653
JALORE,23162,2902,653,26717
JHALAWAR,21429,7839,326,29594
JHUNJHUNU,6390,1245,11,7646
JODHPUR,19624,5642,548,25814
KARAULI,12305,2131,1,14437
KOTA,28795,10637,529,39961
NAGAUR,12230,5751,502,18483
PALI,10906,2746,17,13669
PRATAPGARH,13178,5698,240,19116
RAJSAMAND,4694,1474,32,6200
S.MADHOPUR,19691,5015,0,24706
SIKAR,8346,2801,38,11185
SIROHI,10699,2209,428,13336
TONK,20188,5377,64,25629
UDAIPUR,20269,5511,1057,26837
