DISTRICT,NITROGENIUS,PHOSPHETIC,POTASIC,TOTAL
AJMER,7754,3311,46,11111
ALWAR,31949,6574,182,38705
BANSWARA,10113,1895,304,12312
BARAN,33553,10821,263,44637
BARMER,10004,971,151,11126
BHARATPUR,33899,5346,58,39303
BHILWARA,12077,3780,186,16043
BIKANER,22638,7118,27,29783
BUNDI,25231,6319,134,31684
CHITTORGARH,18880,8481,464,27825
CHURU,5539,1866,6,7411
DAUSA,13636,2201,89,15926
DHOLPUR,15190,1294,91,16575
DUNGARPUR,4964,503,106,5573
GANGANAGAR,41582,13456,301,55339
HANUMANGARH,40163,10408,339,50910
JAIPUR,24100,7842,385,32327
JAISALMER,8374,1516,46,9936
JALORE,21963,2040,521,24524
JHALAWAR,21608,9818,163,31589
JHUNJHUNU,12322,1029,56,13407
JODHPUR,18449,7215,404,26068
KARAULI,35493,2584,4,38081
KOTA,29212,12739,743,42694
NAGAUR,16704,7787,352,24843
PALI,9168,2208,88,11464
PRATAPGARH,11244,4659,516,16419
RAJSAMAND,3976,854,52,4882
S.MADHOPUR,17905,4338,36,22279
SIKAR,10241,2546,144,12931
SIROHI,9733,1638,223,11594
TONK,15140,4048,108,19296
UDAIPUR,15717,4478,1379,21574
