DISTRICT,NITROGENIUS,PHOSPHETIC,POTASIC,TOTAL
AJMER,8088,3474,10,11572
ALWAR,32619,7371,248,40238
BANSWARA,21126,1822,106,23054
BARAN,30929,8321,347,39597
BARMER,12438,2393,74,14905
BHARATPUR,25519,5645,66,31230
BHILWARA,17699,3178,39,20916
BIKANER,31909,8398,112,40419
BUNDI,29623,5255,137,35015
CHITTORGARH,22525,6263,609,29397
CHURU,9438,2361,19,11818
DAUSA,11669,2123,86,13878
DHOLPUR,10858,2342,405,13605
DUNGARPUR,3402,447,50,3899
GANGANAGAR,64514,20272,2038,86824
HANUMANGARH,53236,15790,1279,70305
JAIPUR,25141,12851,1113,39105
JAISALMER,9708,2566,26,12300
JALORE,16385,1677,254,18316
JHALAWAR,25468,8343,965,34776
JHUNJHUNU,9725,2415,42,12182
JODHPUR,20728,8434,406,29568
KARAULI,10578,2390,3,12971
KOTA,33174,9472,442,43088
NAGAUR,16174,6449,533,23156
PALI,8566,2753,137,11456
PRATAPGARH,13118,3339,451,16908
RAJSAMAND,3177,626,25,3828
S.MADHOPUR,17400,3952,25,21377
SIKAR,9167,2715,51,11933
SIROHI,8680,1994,191,10865
TONK,17299,4749,125,22173
UDAIPUR,12086,1667,747,14500
