DISTRICT,OTHER UC LAND WASTELAND,OTHER UC LAND TOTAL,FL OTHER THAN CURRENT FALLOWS,FL CURRENT FALLOW,FL TOTAL,NET AREA SOWN,TOTAL CROPPED AREA,AREA SOWN MORE THAN ONCE
AJMER,69435,148097,29921,26414,56335,444190,645563,201373
ALWAR,7368,31650,25009,18266,43275,496663,855160,358497
BANSWARA,26273,38009,30203,4067,34270,226921,343518,116597
BARAN,12570,47020,14538,9182,23720,346311,493597,147286
BARMER,220842,424798,343738,377611,721349,1433215,1604199,170984
BHARATPUR,2717,10459,9095,8551,17646,393329,598696,205367
BHILWARA,118614,238765,62802,40688,103490,420168,639120,218952
BIKANER,641905,692564,178458,189652,368110,1586130,1928363,342233
BUNDI,27228,51909,24025,8539,32564,265207,467959,202752
CHITTORGARH,86903,161225,21011,13503,34514,318405,544744,226339
CHURU,14372,51831,48355,62317,110672,1149990,1452323,302333
DAUSA,5771,31664,9581,8678,18259,228226,380254,152028
DHOLPUR,7476,25537,10243,7113,17356,156082,233441,77359
DUNGARPUR,21258,56886,33833,9531,43364,130543,193497,62954
GANGANAGAR,22709,29648,79982,63625,143607,786328,1277609,491281
HANUMANGARH,2482,7104,20185,27953,48138,838328,1248622,410294
JAIPUR,41143,115726,57516,46611,104127,659160,1044671,385511
JAISALMER,2197391,2286567,157200,104985,262185,691661,870760,179099
JALORE,21163,68540,100676,91885,192561,649042,867677,218635
JHALAWAR,33702,87191,13001,5290,18291,336562,614049,277487
JHUNJHUNU,6305,45620,34397,25828,60225,407875,654338,246463
JODHPUR,9136,133849,293342,282470,575812,1316003,1589684,273681
KARAULI,11700,42527,8831,7157,15988,200424,328743,128319
KOTA,23257,37802,12555,7747,20302,272051,448459,176408
NAGAUR,11990,83529,105632,181792,287424,1228764,1479906,251142
PALI,49245,140848,122216,91564,213780,593349,694046,100697
PRATAPGARH,35247,57934,8637,3443,12080,182032,299170,117138
RAJSAMAND,118333,174568,29611,4976,34587,90558,131941,41383
S.MADHOPUR,10705,38203,11764,8769,20533,292008,381272,89264
SIKAR,8770,48866,45271,48510,93781,515412,746858,231446
SIROHI,9025,42250,32615,29566,62181,157889,210928,53039
TONK,42416,83399,25987,25445,51432,476480,624154,147674
UDAIPUR,120705,203727,68644,14227,82871,232190,342033,109843
