DISTRICT,OTHER UC LAND WASTELAND,OTHER UC LAND TOTAL,FL OTHER THAN CURRENT FALLOWS,FL CURRENT FALLOW,FL TOTAL,NET AREA SOWN,TOTAL CROPPED AREA,AREA SOWN MORE THAN ONCE
AJMER,56976,135845,29880,21996,51876,461518,786168,324650
ALWAR,6275,30185,27383,20352,47735,492009,892197,400188
BANSWARA,22479,34590,24178,5536,29714,236387,390112,153725
BARAN,10086,43503,15108,10085,25193,348378,669145,320767
BARMER,185488,393431,289693,245405,535098,1650058,1926179,276121
BHARATPUR,2172,10133,9874,9547,19421,392430,617068,224638
BHILWARA,97534,218270,52633,31299,83932,460588,778321,317733
BIKANER,553559,604890,305723,228415,534138,1503302,2027366,524064
BUNDI,23698,47227,23676,8819,32495,271515,512844,241329
CHITTORGARH,61994,136448,16350,9516,25866,349616,655782,306166
CHURU,22361,59400,48902,60516,109418,1141923,1600730,458807
DAUSA,4293,29981,8680,10637,19317,228223,392300,164077
DHOLPUR,11525,29713,7591,8185,15776,153078,243091,90013
DUNGARPUR,24421,59827,33765,9761,43526,127691,213836,86145
GANGANAGAR,19505,20114,82047,71416,153463,785287,1270375,485088
HANUMANGARH,2021,6907,14180,21464,35644,849921,1505134,655213
JAIPUR,36434,109902,55268,49733,105001,651773,1117070,465297
JAISALMER,2074378,2162136,179028,98083,277111,789776,1120705,330929
JALORE,19480,66783,92429,63076,155505,687485,1015867,328382
JHALAWAR,20384,72484,10910,5535,16445,350729,685876,335147
JHUNJHUNU,7128,46384,39314,33557,72871,394110,656936,262826
JODHPUR,14684,124890,257373,223979,481352,1392578,1870560,477982
KARAULI,9961,40466,9807,7863,17670,201620,343357,141737
KOTA,19504,33915,14909,7374,22283,272918,520563,247645
NAGAUR,13989,85483,87243,124280,211523,1300393,1710316,409923
PALI,41537,133334,106347,78631,184978,629855,825195,195340
PRATAPGARH,27574,50623,5268,2930,8198,193700,365417,171717
RAJSAMAND,109329,164742,22775,10023,32798,101528,160471,58943
S.MADHOPUR,8951,43570,11962,11527,23489,284132,409604,125472
SIKAR,12051,51319,44931,42018,86949,518222,771947,253725
SIROHI,7609,40872,30585,22748,53333,167847,238692,70845
TONK,34996,76349,24885,21187,46072,490215,745028,254813
UDAIPUR,117786,200561,57001,9427,66428,250793,403598,152805
