DISTRICT,OTHER UC LAND WASTELAND,OTHER UC LAND TOTAL,FL OTHER THAN CURRENT FALLOWS,FL CURRENT FALLOW,FL TOTAL,NET AREA SOWN,TOTAL CROPPED AREA,AREA SOWN MORE THAN ONCE
AJMER,63494,142434,31251,18093,49344,457170,768000,310830
ALWAR,7710,31671,26824,19550,46374,492275,880269,387994
BANSWARA,23644,35487,26507,3980,30487,233526,373099,139573
BARAN,11038,44664,13984,9610,23594,347399,670106,322707
BARMER,188797,397243,310948,239481,550429,1630989,1916447,285458
BHARATPUR,2495,10813,10353,7082,17435,394172,613013,218841
BHILWARA,109390,230299,56996,37469,94465,438465,713437,274972
BIKANER,522015,573000,286385,208875,495260,1573598,2168688,595090
BUNDI,25670,49354,25581,9275,34856,266924,502098,235174
CHITTORGARH,72457,146871,22192,11711,33903,330756,597150,266394
CHURU,25004,62031,54146,68034,122180,1127024,1720228,593204
DAUSA,5120,30999,10440,10713,21153,225559,364148,138589
DHOLPUR,8466,26503,9611,6364,15975,155952,245396,89444
DUNGARPUR,21575,57035,34697,5582,40279,133730,210712,76982
GANGANAGAR,17029,18293,81357,72917,154274,786486,1315050,528564
HANUMANGARH,1965,6863,16162,22539,38701,847293,1492384,645091
JAIPUR,40446,115019,60620,49607,110227,642895,1042852,399957
JAISALMER,2084371,2172010,172137,82594,254731,804582,1180109,375527
JALORE,21031,68446,108962,75193,184155,657297,940641,283344
JHALAWAR,27193,83137,11610,5882,17492,339532,655058,315526
JHUNJHUNU,7199,46466,44198,36636,80834,386167,627943,241776
JODHPUR,9610,131268,270612,221965,492577,1397156,1878479,481323
KARAULI,11252,42001,11085,5913,16998,200096,340453,140357
KOTA,20646,34934,13807,6183,19990,271786,528802,257016
NAGAUR,11075,82579,92888,125253,218141,1296758,1869149,572391
PALI,41131,132955,112671,70825,183496,631640,878201,246561
PRATAPGARH,31742,54415,6927,2414,9341,188435,336490,148055
RAJSAMAND,115923,171336,28541,4434,32975,94726,138896,44170
S.MADHOPUR,9917,39041,13501,11196,24697,288118,453860,165742
SIKAR,11967,51250,56640,47689,104329,501133,728902,227769
SIROHI,8876,42134,31790,23360,55150,164976,224845,59869
TONK,37621,78661,25937,23727,49664,484614,788158,303544
UDAIPUR,120719,202982,62918,11340,74258,240542,352369,111827
