DISTRICT,OTHER UC LAND WASTELAND,OTHER UC LAND TOTAL,FL OTHER THAN CURRENT FALLOWS,FL CURRENT FALLOW,FL TOTAL,NET AREA SOWN,TOTAL CROPPED AREA,AREA SOWN MORE THAN ONCE
AJMER,65404,144091,33668,30129,63797,440704,559425,118721
ALWAR,7483,31483,27228,19726,46954,492542,871844,379302
BANSWARA,25055,36784,31545,3545,35090,227491,340409,112918
BARAN,12048,45998,13586,7986,21572,349143,662661,313518
BARMER,190690,395026,320233,216716,536949,1647600,1846104,198504
BHARATPUR,2567,10257,10223,7070,17293,393883,616849,222966
BHILWARA,112081,233095,56308,38074,94382,435901,600440,164539
BIKANER,585567,634994,188998,166925,355923,1652358,2050904,398546
BUNDI,27116,51548,24190,8618,32808,265684,481996,216312
CHITTORGARH,81803,156128,20758,13149,33907,321884,548912,227028
CHURU,16527,54009,44962,58480,103442,1154924,1375702,220778
DAUSA,5490,31275,9188,9434,18622,228214,376825,148611
DHOLPUR,7871,25915,10791,8083,18874,154186,234415,80229
DUNGARPUR,21875,57564,33637,7604,41241,131988,189500,57512
GANGANAGAR,14749,18332,67639,61506,129145,811979,1358389,546410
HANUMANGARH,2440,7052,16452,22407,38859,847603,1295703,448100
JAIPUR,42174,116908,60066,63272,123338,637296,929231,291935
JAISALMER,2162023,2247168,135301,53997,189298,802386,1027862,225476
JALORE,20934,68315,96046,77482,173528,668186,921716,253530
JHALAWAR,31905,86589,12372,4397,16769,338456,635005,296549
JHUNJHUNU,6169,45450,35067,29720,64787,403483,635494,232011
JODHPUR,11364,136084,245085,257468,502553,1387136,1716695,329559
KARAULI,11685,42513,9522,15350,24872,191406,321379,129973
KOTA,22869,37535,12212,5751,17963,274179,514560,240381
NAGAUR,11719,83346,109465,165416,274881,1241057,1472570,231513
PALI,49544,141153,118146,83978,202124,604694,726045,121351
PRATAPGARH,34820,57525,9186,3611,12797,181782,295823,114041
RAJSAMAND,116039,171268,29268,4935,34203,93267,132026,38759
S.MADHOPUR,10449,38368,12376,22314,34690,278049,398339,120290
SIKAR,10453,50504,48772,48978,97750,509653,722330,212677
SIROHI,9028,42253,32435,25369,57804,162260,226988,64728
TONK,43874,85051,29689,45818,75507,452126,576923,124797
UDAIPUR,121436,204254,61365,10100,71465,242863,350640,107777
