DISTRICT,OTHER UC LAND WASTELAND,OTHER UC LAND TOTAL,FL OTHER THAN CURRENT FALLOWS,FL CURRENT FALLOW,FL TOTAL,NET AREA SOWN,TOTAL CROPPED AREA,AREA SOWN MORE THAN ONCE
AJMER,68541,147355,34877,25976,60853,440412,612853,172441
ALWAR,8069,32043,29349,19799,49148,489134,869432,380298
BANSWARA,24139,35782,29013,4536,33549,230279,359569,129290
BARAN,11631,45513,13578,10491,24069,347476,660286,312810
BARMER,186835,393358,329553,243980,573533,1611934,1853493,241559
BHARATPUR,2513,10368,11214,8233,19447,392470,605666,213196
BHILWARA,114301,235090,63342,42985,106327,421591,612391,190800
BIKANER,548521,598614,246791,213782,460573,1583131,2049347,466216
BUNDI,24952,48730,25498,11238,36736,265278,492034,226756
CHITTORGARH,79572,154006,22340,12665,35005,322779,567255,244476
CHURU,21401,58564,54427,68303,122730,1130284,1409087,278803
DAUSA,5224,30964,11325,12169,23494,223695,353811,130116
DHOLPUR,9759,27773,10797,6360,17157,153881,241233,87352
DUNGARPUR,21503,57012,33622,8626,42248,131768,193707,61939
GANGANAGAR,18144,19498,83474,84134,167608,771958,1283621,511663
HANUMANGARH,1999,6652,19526,27865,47391,838891,1289751,450860
JAIPUR,41590,115964,64536,54558,119094,637433,980987,343554
JAISALMER,2103761,2192637,130158,113618,243776,795628,1051465,255837
JALORE,21103,68527,105489,94315,199804,641646,896341,254695
JHALAWAR,28840,85325,12964,7289,20253,336061,647710,311649
JHUNJHUNU,6735,45999,43712,31742,75454,392032,629188,237156
JODHPUR,6837,128494,254654,288244,542898,1349609,1712812,363203
KARAULI,11309,42075,11305,8525,19830,197033,326879,129846
KOTA,20778,35039,13735,5742,19477,273381,525377,251996
NAGAUR,9253,80641,101771,156371,258142,1258638,1515543,256905
PALI,43578,135412,116354,91113,207467,605212,685095,79883
PRATAPGARH,34226,56928,7629,2363,9992,185182,322037,136855
RAJSAMAND,115862,171591,29322,3989,33311,94284,126255,31971
S.MADHOPUR,10402,39402,15192,10202,25394,286103,445571,159468
SIKAR,13544,52900,53935,48762,102697,501302,702300,200998
SIROHI,8735,42007,29248,28555,57803,162449,214742,52293
TONK,40138,81019,28670,29217,57887,474331,744221,269890
UDAIPUR,120536,202864,68978,13296,82274,232802,333292,100490
