DISTRICT,NITROGENIUS,PHOSPHETIC,POTASIC,TOTAL
AJMER,5080,3657,84,8821
ALWAR,26132,12267,1602,40000
BANSWARA,13546,1769,122,15436
BARAN,13590,8007,324,21920
BARMER,5714,1729,339,7783
BHARATPUR,21587,10335,437,32360
BHILWARA,16824,8970,291,26085
BIKANER,8627,6156,99,14882
BUNDI,14749,6582,429,21761
CHITTORGARH,19531,9224,990,29745
CHURU,5074,1645,12,6731
DAUSA,10645,3599,279,14522
DHOLPUR,9547,5330,1009,15886
DUNGARPUR,2088,412,9,2509
GANGANAGAR,31963,18375,2056,52395
HANUMANGARH,29056,17222,2002,48280
JAIPUR,20926,11323,1787,34036
JAISALMER,3684,1740,24,5448
JALORE,13293,2753,574,16619
JHALAWAR,15659,7903,499,24061
JHUNJHUNU,5290,2021,61,7371
JODHPUR,19045,13192,848,33085
KARAULI,9687,8117,381,18185
KOTA,18723,13022,1894,33639
NAGAUR,11865,7679,582,20126
PALI,4495,3444,249,8188
PRATAPGARH,8023,3223,713,11960
RAJSAMAND,2586,1061,91,3738
S.MADHOPUR,8988,3376,180,12544
SIKAR,8474,2897,237,11608
SIROHI,4841,2091,170,7102
TONK,8567,5366,265,14198
UDAIPUR,11186,5487,1078,17750
